Калькулятор;URL;Функция расчёта;ezfc_id;element_name;Тип;Название параметра;Варианты значений
Калькулятор наградных плакеток;https://insain.ru/catalog/kalkulyator-nagradnyh-plaketok/;calcPlaque;2779;dpdapplication;select;Способ нанесения;без нанесения (value=0, code=noApplication) | УФ-печать (value=1, code=isUVPrint) | Гравировка (value=2, code=isGrave) | Сублимационная печать (value=3, code=isSublimation)
Калькулятор нанесения на одежду;https://insain.ru/catalog/kalkulyator-naneseniya-na-odezhdu/;calcHeatPress;1539;numn;tel;Тираж;value=100
Калькулятор нанесения на одежду;https://insain.ru/catalog/kalkulyator-naneseniya-na-odezhdu/;calcHeatPress;1540;numw;tel;Ширина нанесения, мм;value=50
Калькулятор нанесения на одежду;https://insain.ru/catalog/kalkulyator-naneseniya-na-odezhdu/;calcHeatPress;1541;numh;tel;Высота нанесения, мм;value=50
Калькулятор нанесения на одежду;https://insain.ru/catalog/kalkulyator-naneseniya-na-odezhdu/;calcHeatPress;1542;dpdmaterial;select;Тип изделия;Футболка/поло/рубашка (value=0, code=tshirt) | Толстовка (value=1, code=clothes) | Бейсболка (value=2, code=hat) | Зонт (value=3, code=ambrella) | Сумка/рюкзак (value=4, code=bag)
Калькулятор нанесения на одежду;https://insain.ru/catalog/kalkulyator-naneseniya-na-odezhdu/;calcHeatPress;1546;dpdheatpress;select;Способ нанесения;нанесение пленками (value=0, code=film) | сублимационная печать по синтетике (value=1, code=sublimation) | пленка с полноцветной сублимационной печатью (value=2, code=filmSublimation) | пленка с полноцветной экосольвентной печатью (value=3, code=filmEcosolvent) | печать полноцветная термобумагой (value=4, code=paperLaser) | шелкотрансферная печать (value=5, code=silk) | DTF-печать (value=6, code=dtf)
Калькулятор нанесения на одежду;https://insain.ru/catalog/kalkulyator-naneseniya-na-odezhdu/;calcHeatPress;1555;dpdapplicationmaterial;select;Пленка для аппликации;Термопленка POLI-FLEX, серия PREMIUM, белая/черная (value=0, code=POLIFLEXPREMIUMBW) | Термопленка POLI-FLEX, серия PREMIUM, цветная (value=1, code=POLIFLEXPREMIUMCOLOR) | Термопленка декоративная (металлик, голографические, глиттерные) (value=2, code=POLIFLEXIMAGE)
Калькулятор нанесения на одежду;https://insain.ru/catalog/kalkulyator-naneseniya-na-odezhdu/;calcHeatPress;1558;numfilm;tel;Кол-во цветов;value=1
Калькулятор нанесения на одежду;https://insain.ru/catalog/kalkulyator-naneseniya-na-odezhdu/;calcHeatPress;1559;setmaxsize;text;setmaxsize;Свободный ввод
Калькулятор нанесения на одежду;https://insain.ru/catalog/kalkulyator-naneseniya-na-odezhdu/;calcHeatPress;1561;numsizeitem;tel;Размер элементов, мм;value=50
Калькулятор нанесения на одежду;https://insain.ru/catalog/kalkulyator-naneseniya-na-odezhdu/;calcHeatPress;1562;numdensity;tel;Плотность элементов;value=25
Калькулятор нанесения на одежду;https://insain.ru/catalog/kalkulyator-naneseniya-na-odezhdu/;calcHeatPress;1563;dpdfilmdifficulty;select;Форма наклейки;Простая форма (value=0, code=1) | Сложная форма (value=1, code=1.3) | Сложная форма с внутренними элементами (value=2, code=1.7)
Калькулятор нанесения на одежду;https://insain.ru/catalog/kalkulyator-naneseniya-na-odezhdu/;calcHeatPress;1590;numsilkcolor;tel;Кол-во цветов;value=1
Калькулятор нанесения на одежду;https://insain.ru/catalog/kalkulyator-naneseniya-na-odezhdu/;calcHeatPress;1591;rdocolortshirt;radio;rdocolortshirt;белая ткань (value=0, code=0) | цветная ткань (value=1, code=1)
Калькулятор нанесения на одежду;https://insain.ru/catalog/kalkulyator-naneseniya-na-odezhdu/;calcHeatPress;2283;ckbmaterialcostomer;checkbox;ckbmaterialcostomer;Изделие заказчика +25% (value=0, code=isMaterialCustomer)
Калькулятор настольных перекидных календарей;https://insain.ru/catalog/kalkulyator-nastolnyh-perekidnyh-kalendarej/;calcCalendarTableFlip;2661;numn;tel;Тираж;value=100
Калькулятор настольных перекидных календарей;https://insain.ru/catalog/kalkulyator-nastolnyh-perekidnyh-kalendarej/;calcCalendarTableFlip;2663;dpdsize;select;Размер;210х110мм горизонтальный (value=0, code=TableFlip210110) | 140х170мм вертикальный (value=1, code=TableFlip140170) | 210х148мм горизонтальный (value=2, code=TableFlip210148)
Калькулятор настольных перекидных календарей;https://insain.ru/catalog/kalkulyator-nastolnyh-perekidnyh-kalendarej/;calcCalendarTableFlip;2666;dpdblock;select;Перекидной блок;6 листов 4+4 (value=0, code=DoubleSide6) | 7 листов 4+4 (value=1, code=DoubleSide7) | 13 листов 4+0 (value=2, code=OneSide13) | 14 листов 4+0 (value=3, code=OneSide14) | 14 листов 4+0 (value=4, code=OneSide14)
Калькулятор настольных перекидных календарей;https://insain.ru/catalog/kalkulyator-nastolnyh-perekidnyh-kalendarej/;calcCalendarTableFlip;2667;dpdmaterial;select;Бумага блока;115гр (value=0, code=PaperCoated115M) | 130гр (value=1, code=PaperCoated130M) | 170гр (value=2, code=PaperCoated170M)
Калькулятор настольных перекидных календарей;https://insain.ru/catalog/kalkulyator-nastolnyh-perekidnyh-kalendarej/;calcCalendarTableFlip;2668;dpdcoverlaminat;select;Ламинация;нет (value=0) | глянцевая, 32 мкм (value=1, code=Laminat32G) | матовая, 32 мкм (value=2, code=Laminat32M)
Калькулятор настольных перекидных календарей;https://insain.ru/catalog/kalkulyator-nastolnyh-perekidnyh-kalendarej/;calcCalendarTableFlip;2687;ckbcolor;checkbox;ckbcolor;Печать на основе (value=0, code=4+0)
Калькулятор пазлов;https://insain.ru/catalog/kalkulyator-pazlov/;calcPuzzle;3103;numn;tel;Тираж;value=1
Калькулятор пазлов;https://insain.ru/catalog/kalkulyator-pazlov/;calcPuzzle;3104;dpdformat;select;Формат пазла;Прямоугольный картонный 300 х 420 мм (300 элементов) (value=0, code=Puzzle300420) | Прямоугольный картонный 208 х 298 мм (120 элементов) (value=1, code=Puzzle208298) | Прямоугольный картонный 159 х 215 мм (80 элементов) (value=2, code=Puzzle159215)
Калькулятор перекидных календарей;https://insain.ru/catalog/kalkulyator-perekidnyh-kalendarej/;calcCalendarFlip;2154;numn;tel;Тираж;value=100
Калькулятор перекидных календарей;https://insain.ru/catalog/kalkulyator-perekidnyh-kalendarej/;calcCalendarFlip;2156;dpdsize;select;Вид;А3 (297х420мм) (value=0, code=297,420) | А4 (210х297мм) (value=1, code=210,297) | А5 (148х210мм) (value=2, code=148,210)
Калькулятор перекидных календарей;https://insain.ru/catalog/kalkulyator-perekidnyh-kalendarej/;calcCalendarFlip;2160;dpdblock;select;Блок;6 листов 4+4 (value=0, code=DoubleSide6) | 7 листов 4+4 (value=1, code=DoubleSide7) | 12 листов 4+4 (value=2, code=DoubleSide12) | 13 листов 4+4 (value=3, code=DoubleSide13) | 12 листов 4+0 (value=4, code=OneSide12) | 13 листов 4+0 (value=5, code=OneSide13) | 14 листов 4+0 (value=6, code=OneSide14)
Калькулятор перекидных календарей;https://insain.ru/catalog/kalkulyator-perekidnyh-kalendarej/;calcCalendarFlip;2161;dpdcoverlaminat;select;Ламинация;нет (value=0) | глянцевая, 32 мкм (value=1, code=Laminat32G) | матовая, 32 мкм (value=2, code=Laminat32M)
Калькулятор перекидных календарей;https://insain.ru/catalog/kalkulyator-perekidnyh-kalendarej/;calcCalendarFlip;2179;dpdmaterial;select;Бумага;170гр (value=0, code=PaperCoated170M) | 200гр (value=1, code=PaperCoated200M) | 250гр (value=2, code=PaperCoated250M) | 300гр (value=3, code=PaperCoated300M)
Калькулятор перекидных календарей;https://insain.ru/catalog/kalkulyator-perekidnyh-kalendarej/;calcCalendarFlip;2686;dpdedge;select;Ориентация;книжная (value=0, code=short) | альбомная (value=1, code=long)
Калькулятор пластиковых карт;https://insain.ru/catalog/kalkulyator-plastikovyh-kart/;calcPlasticCards;2286;numn;tel;Тираж;value=100
Калькулятор пластиковых карт;https://insain.ru/catalog/kalkulyator-plastikovyh-kart/;calcPlasticCards;2288;dpdcolor;select;Цветность печати;4+0 (value=0, code=4+0) | 4+4 (value=1, code=4+4)
Калькулятор пластиковых карт;https://insain.ru/catalog/kalkulyator-plastikovyh-kart/;calcPlasticCards;2289;dpdmaterial;select;Пластик;Пластик белый (value=0, code=White) | Пластик золотой, серебряный,прозрачный, перламутровый (value=1, code=Design) | Пластик с чипом EM Marine (value=2, code=ChipEMMarine) | Пластик с чипом Mifare (value=3, code=ChipMifare)
Калькулятор пластиковых карт;https://insain.ru/catalog/kalkulyator-plastikovyh-kart/;calcPlasticCards;2290;dpdlaminat;select;Ламинация;глянец (value=0, code=gloss) | матовая (value=1, code=matte) | софт-тач (value=2, code=touch)
Калькулятор пластиковых карт;https://insain.ru/catalog/kalkulyator-plastikovyh-kart/;calcPlasticCards;2292;ckbnumber;checkbox;ckbnumber;Нумерация (value=0, code=true)
Калькулятор пластиковых карт;https://insain.ru/catalog/kalkulyator-plastikovyh-kart/;calcPlasticCards;2293;ckbbarcode;checkbox;ckbbarcode;Штрихкод (value=0, code=true)
Калькулятор пластиковых карт;https://insain.ru/catalog/kalkulyator-plastikovyh-kart/;calcPlasticCards;2294;ckbvariables;checkbox;ckbvariables;Переменные данные/ФИО (value=0, code=true)
Калькулятор пластиковых карт;https://insain.ru/catalog/kalkulyator-plastikovyh-kart/;calcPlasticCards;2295;ckbembossingfoil;checkbox;ckbembossingfoil;Эмбоссинг (value=0, code=true)
Калькулятор пластиковых карт;https://insain.ru/catalog/kalkulyator-plastikovyh-kart/;calcPlasticCards;2296;ckbmagneticstripehico;checkbox;ckbmagneticstripehico;Магнитная полоса HiCo (value=0, code=true)
Калькулятор пластиковых карт;https://insain.ru/catalog/kalkulyator-plastikovyh-kart/;calcPlasticCards;2315;ckbsignaturestrip;checkbox;ckbsignaturestrip;Полоса для подписи (value=0, code=true)
Калькулятор пластиковых карт;https://insain.ru/catalog/kalkulyator-plastikovyh-kart/;calcPlasticCards;2316;ckbscratchpanel;checkbox;ckbscratchpanel;Нанесение скретч-панели (value=0, code=true)
Калькулятор прессволов;https://insain.ru/catalog/kalkulyator-pressvolov/;calcPresswall;1843;numn;tel;Кол-во;value=1
Калькулятор прессволов;https://insain.ru/catalog/kalkulyator-pressvolov/;calcPresswall;1844;dpdpresswall;select;Размер прессвола;3,0х2,0м (value=0, code=Joker30_20_eyelet) | 3,0х2,5м (value=1, code=Joker30_25_eyelet) | 2,5х2,5м (value=2, code=Joker25_25_eyelet) | 2,5х2,0м (value=3, code=Joker25_20_eyelet) | 2,0х2,0м (value=4, code=Joker20_20_eyelet) | 1,0х2,0м (value=5, code=Joker10_20_eyelet) | 4,0х3,0м (двойная труба) (value=6, code=Tritix40_30_eyelet)
Калькулятор прессволов;https://insain.ru/catalog/kalkulyator-pressvolov/;calcPresswall;1845;dpdattachment;select;Способ крепления;люверсы (value=0, code=isEyelet) | карман (value=1, code=isPocket)
Калькулятор прессволов;https://insain.ru/catalog/kalkulyator-pressvolov/;calcPresswall;1879;dpdbanner;select;Баннер;без баннера (value=0) | ламинированный, 440гр (value=1, code=BannerFronlitLamin440) | литой, 400гр (value=2, code=BannerFronlitCoat400)
Калькулятор прессволов;https://insain.ru/catalog/kalkulyator-pressvolov/;calcPresswall;1880;dpdbag;select;Сумка для транспортировки;не нужна (value=0) | Сумка переноска для чехла, 160х15х15см, оксфорд (value=1, code=bag160) | Сумка переноска для чехла, 210х15х15см, оксфорд (value=2, code=bag210)
Калькулятор прессволов;https://insain.ru/catalog/kalkulyator-pressvolov/;calcPresswall;1882;numdays;tel;Кол-во дней;value=2
Калькулятор прессволов;https://insain.ru/catalog/kalkulyator-pressvolov/;calcPresswall;1883;rdopresswal;radio;rdopresswal;изготовить прессвол (value=0, code=isPresswall) | взять на прокат (value=1, code=isRent) | свой прессвол (value=2, code=noPresswall)
Калькулятор роллапов;https://insain.ru/catalog/kalkulyator-rollapov/;calcRollup;2019;numn;tel;Кол-во;value=1
Калькулятор роллапов;https://insain.ru/catalog/kalkulyator-rollapov/;calcRollup;2020;dpdsize;select;Размер роллапа;0,85х2,0м (value=0, code=85) | 1,0х2,0м (value=1, code=100) | 1,2х2,0м (value=2, code=120) | 1,5х2,0м (value=3, code=150) | 2,0х2,0м (value=4, code=200)
Калькулятор роллапов;https://insain.ru/catalog/kalkulyator-rollapov/;calcRollup;2024;dpdrollup;select;Тип роллапа;эконом (value=0, code=econom) | стандарт (value=1, code=standart) | премиум (value=2, code=premium)
Калькулятор роллапов;https://insain.ru/catalog/kalkulyator-rollapov/;calcRollup;2043;dpdposter;select;Постер;нет (value=0) | Скроллерная бумага (1,27, 200 мкр, белая, матовая, полипропилен) (value=1, code=ScrollPaper200)
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;1924;numn;tel;Тираж;value=1
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;1925;numw;text;Ширина, мм;value=1000
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;1926;numh;text;Высота, мм;value=1000
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;1927;dpdmaterial;select;Материал;не задан материал (value=0) | ПВХ Unext Strong 3 мм (value=1, code=PVC3) | ПВХ Unext Strong 5 мм (value=2, code=PVC5) | ПВХ Unext Strong 8 мм (value=3, code=PVC8) | ПВХ Unext Strong 10 мм (value=4, code=PVC10) | АКП Altec белый 3мм (стенка 0.3мм) (value=5, code=ACPWhite3) | ПВХ Unext Strong 3 мм цветной (value=6, code=PVCColor3) | ПВХ Unext Strong 5 мм цветной (value=7, code=PVCColor5)
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;1934;dpdapplication;select;Способ нанесения фона;без нанесения (value=0, code=noApplication) | УФ-печать (value=1, code=isUVPrint) | пленка с экосольвентной печатью (value=2, code=isECOPrint) | пленка с латексной печатью (value=3, code=isLatexPrint) | пленка цветная/металлизированная (value=4, code=isBackgroundFilm)
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;1936;dpdcolor;select;Цветность печати;полноцвет (value=0, code=4+0) | полноцвет + белый (value=1, code=4+1) | белый (value=2, code=1+0)
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;1937;dpdrollwidelaminat;select;Параметры ламинации;нет (value=0, code=No) | глянцевая (value=1, code=LaminatDLCLAM) | матовая (value=2, code=LaminatDLCLAM)
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;1938;dpdedge;select;Обработка края;подрезка (value=0, code=isCutEdge) | подгибка (value=1, code=isBendEdge)
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;1940;dpdapplicationmaterial;select;Нанесение аппликации пленками;нет (value=0, code=0) | Плёнка AVERY, серия 500, белая (value=1, code=Avery500w) | Плёнка AVERY, серия 500, цветная (value=2, code=Avery500c) | Пленка ORACAL 352 металлик (value=3, code=Oracal352) | Плёнка транслюцентная LG, серия LT4000 (value=4, code=LGLT4000) | Плёнка светонакапливающая ФЭС-24, ГОСТ 2009, жёлто-зелёная, для сольвентной печати (value=5, code=FES24) | Плёнка световозвращающая DMP 2000, белая, 1.24 м (value=6, code=DMP2000) | Плёнка световозвращающая ТМ3100, красная, 1.24 м (value=7, code=TM3100)
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;1941;numapplicationw;tel;Ширина, мм;value=50
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;1942;numapplicationh;tel;Высота, мм;value=50
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;1943;numfilm;tel;Кол-во цветов;value=1
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;1944;setmaxsize;text;setmaxsize;Свободный ввод
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;1946;numsizeitem;tel;Размер элементов, мм;value=50
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;1947;numdensity;tel;Плотность элементов;value=25
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;1948;dpdfilmdifficulty;select;Форма наклейки;Простая форма (value=0, code=1) | Сложная форма (value=1, code=1.3) | Сложная форма с внутренними элементами (value=2, code=1.7)
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;1949;dpdbackgroudmaterial;select;Материал для фона;Плёнка AVERY, серия 500, белая (value=0, code=Avery500w) | Плёнка AVERY, серия 500, цветная (value=1, code=Avery500c) | Пленка ORACAL 352 металлик (value=2, code=Oracal352) | Плёнка транслюцентная LG, серия LT4000 (value=3, code=LGLT4000) | Плёнка светонакапливающая ФЭС-24, ГОСТ 2009, жёлто-зелёная, для сольвентной печати (value=4, code=FES24) | Плёнка световозвращающая DMP 2000, белая, 1.24 м (value=5, code=DMP2000) | Плёнка световозвращающая ТМ3100, красная, 1.24 м (value=6, code=TM3100)
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;2008;numprintw;tel;Ширина, мм;value=50
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;2009;numprinth;tel;Высота, мм;value=50
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;2318;ckbsize;checkbox;ckbsize;Задать размеры фона (value=0, code=1)
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;2871;dpdprofile;select;Профиль;нет (value=0, code=no) | алюминиевый профиль (value=1, code=AluFrame2Plus)
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;2872;dpdhanger;select;Подвес;нет (value=0, code=no) | Подвес стальной Н35, универсальный (value=1, code=HangerH35) | Ухо-подвеска с петлей для настенного монтажа панелей (value=2, code=HangerEar)
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;2873;numhangers;tel;Количество подвесов;value=2, placeholder=2
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;2933;frmsetpockets;select;frmsetpockets;Карман А5 (value=0, code=PocketPETA5V) | Карман А4 (value=1, code=PocketPETA4V) | Карман А3 (value=2, code=PocketPETA3V) | Карман объемный акриловый А4 (value=3, code=PocketAcrylicA4V) | Карман объемный акриловый А5 (value=4, code=PocketAcrylicA5V) | Карман объемный акриловый Евро (value=5, code=PocketAcrylicEuroV) | Карман на дистанционных держателях А4 вертикальный, ПЭТ 2мм (value=6, code=PocketStandoffА4V) | Карман на металлических держателях А4 вертикальный, ПЭТ 2мм (value=7, code=PocketMetalCapА4V)
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;2959;dpd;select;Доп. поверхности;нет (value=0, code=no) | резина ЕВА-пласт 5мм (value=1, code=EVAFoam5)
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;2960;numfoamw;tel;Ширина, мм;value=500
Калькулятор стендов;https://insain.ru/catalog/kalkulyator-stendov/;calcTablets;2961;numfoamh;tel;Высота, мм;value=500
Калькулятор сублимационной печати на кружки;https://insain.ru/catalog/kalkulyator-sublimaczionnoj-pechati-na-kruzhki/;calcMug;1594;numn;tel;Тираж;value=1
Калькулятор сублимационной печати на кружки;https://insain.ru/catalog/kalkulyator-sublimaczionnoj-pechati-na-kruzhki/;calcMug;1597;dpdtypemug;select;Тип кружки;Стандартная белая (value=0, code=MugStandartWhite) | С цветной каемкой и ручкой (value=1, code=MugColorBorderHandle) | Цветная внутри с цветной ручкой (value=2, code=MugColorInnerHandle) | Цветная внутри (value=3, code=MugColorInner) | Цветная с белым полем (value=4, code=MugColorField)
Калькулятор сублимационной печати на кружки;https://insain.ru/catalog/kalkulyator-sublimaczionnoj-pechati-na-kruzhki/;calcMug;1599;ckbdifferent;checkbox;ckbdifferent;Разные макеты (value=0, code=true)
Калькулятор сублимационной печати на кружки;https://insain.ru/catalog/kalkulyator-sublimaczionnoj-pechati-na-kruzhki/;calcMug;1601;ckbpacking;checkbox;ckbpacking;Распаковка и упаковка изделий (value=0, code=true)
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1336;numn;tel;Тираж;value=100
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1337;numw;text;Ширина, мм;value=50
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1339;dpdmaterial;select;Материал;не задан материал (value=0) | АКП Altec белый 3мм (стенка 0.3мм) (value=1, code=ACPWhite3) | АКП Altec цветной 3мм (стенка 0.3мм) (value=2, code=ACPColor3) | ПВХ Unext Strong 3 мм (value=3, code=PVC3) | ПВХ Unext Strong 5 мм (value=4, code=PVC5) | ПВХ Unext Strong 8 мм (value=5, code=PVC8) | ПВХ Unext Strong 10 мм (value=6, code=PVC10) | ПВХ Unext Color 3 мм (value=7, code=PVCColor3) | ПВХ Unext Color 5 мм (value=8, code=PVCColor5) | Поликарбонат монолитный прозрачный NOVATTRO 1.5мм (value=9, code=Polycarbonate1) | Поликарбонат монолитный прозрачный NOVATTRO 2мм (value=10, code=Polycarbonate2) | Поликарбонат монолитный прозрачный NOVATTRO 3мм (value=11, code=Polycarbonate3) | Поликарбонат монолитный прозрачный NOVATTRO 5мм (value=12, code=Polycarbonate4) | Полистирол белый ударопрочный GEBAU HIPS 1мм (value=13, code=Polystirol1) | Полистирол белый ударопрочный GEBAU HIPS 2мм (value=14, code=Polystirol2) | Полистирол белый ударопрочный GEBAU HIPS 3мм (value=15, code=Polystirol3) | Полистирол белый ударопрочный GEBAU HIPS 4мм (value=16, code=Polystirol4) | Акрил молочный Plexiglas XT 3мм (value=17, code=AcrylWhite3) | Акрил молочный Plexiglas XT 5мм (value=18, code=AcrylWhite5) | Акрил молочный Plexiglas XT 8мм (value=19, code=AcrylWhite8) | Акрил молочный Plexiglas XT 10мм (value=20, code=AcrylWhite10) | Акрил прозрачный Plexiglas XT 2мм (value=21, code=AcrylTrans2) | Акрил прозрачный Plexiglas XT 3мм (value=22, code=AcrylTrans3) | Акрил прозрачный Plexiglas XT 5мм (value=23, code=AcrylTrans5) | Акрил прозрачный Plexiglas XT 8мм (value=24, code=AcrylTrans8) | Акрил прозрачный Plexiglas XT 10мм (value=25, code=AcrylTrans10) | Акрил цветной Plexiglas XT 3мм (value=26, code=AcrylColor3) | Акрил цветной Plexiglas XT 5мм (value=27, code=AcrylColor5) | Фанера сорт 2/2 3мм (value=28, code=Plywood3) | Фанера сорт 2/2 4мм (value=29, code=Plywood4) | ПЭТ 0.3мм (value=30, code=PET03) | ПЭТ 0.5мм (value=31, code=PET05) | ПЭТ 0.7мм (value=32, code=PET07) | ПЭТ 1.0мм (value=33, code=PET10) | ПЭТ 1.5мм (value=34, code=PET15) | ПЭТ 2.0мм (value=35, code=PET20) | Пенокартон 5мм (value=36, code=Foamboard5) | Пенополистирол 5мм (value=37, code=FoamPolystirol5) | Алюминий для сублимации 305х600х0,55мм (value=38, code=AluminiumSU055) | Двухслойный пластик для гравирования ZENOMARK LASER 1200 x 600 x 1.5 мм. (value=39, code=ZENOMARKLASER) | Двухслойный пластик для гравирования SHENGWEI, 1200 x 600 x 1.5 мм. (value=40, code=SHENGWEI) | Двухслойный пластик для гравирования ROWMARK LASERMAX, акрил, 2 слоя, 1220 х 600 мм x 1.6 мм (value=41, code=ROWMARKLASERMAX) | Двухслойный пластик для гравирования ROWMARK LASERMAX, акрил, 2 слоя, 1220 х 600 мм x 3.2 мм (value=42, code=ROWMARKLASERMAX3)
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1340;rdomaterial;select;Материал в цене;учитывать (value=0, code=isMaterial) | не учитывать (value=1, code=noMaterial) | материал заказчика +25% к услуге (value=2, code=isMaterialCustomer)
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1342;dpddifficulty;select;Параметры раскроя;простая форма (value=0, code=1) | сложная форма (value=1, code=1.3) | задать длину резки (value=2, code=isLenCut)
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1368;dpdapplication;select;Способ нанесения;без нанесения (value=0, code=noApplication) | УФ-печать (value=1, code=isUVPrint) | пленка с экосольвентной печатью (value=2, code=isECOPrint) | пленка с латексной печатью (value=3, code=isLatexPrint) | аппликация пленками (value=4, code=isFilm) | сублимационная печать (value=5, code=isSublimation)
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1371;dpdcut;select;Способ раскроя;ручной раскрой на Keencut (value=0, code=isCutManual) | раскрой на лазере (value=1, code=isCutLaser) | раскрой на фрезере (value=2, code=isCutMilling) | раскрой на гильотине по металлу (value=3, code=isCutManualMetal)
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1373;numh;text;Высота, мм;value=50
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1375;dpdtypecut;select;Группы типов раскроя;все виды (value=0, code=0) | ручная (value=1, code=0) | ручная и фрезеровка (value=2, code=0) | лазер и фрезеровка (value=3, code=0) | фрезеровка (value=4, code=0) | ручная резка по металлу (value=5, code=0)
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1378;dpdcolor;select;Цветность печати;полноцвет (value=0, code=4+0) | полноцвет + белый (value=1, code=4+1) | белый (value=2, code=1+0)
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1419;numapplicationw;tel;Ширина, мм;value=50
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1420;numapplicationh;tel;Высота, мм;value=50
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1421;setmaxsize;text;setmaxsize;Свободный ввод
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1423;dpdfilmdifficulty;select;Форма наклейки;Простая форма (value=0, code=1) | Сложная форма (value=1, code=1.3) | Сложная форма с внутренними элементами (value=2, code=1.7)
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1424;numsizeitem;tel;Размер элементов, мм;value=50
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1425;numdensity;tel;Плотность элементов;value=25
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1427;dpdbackgroudmaterial;select;Оклейка фона таблички;без оклейки (value=0, code=0) | Плёнка AVERY, серия 500, белая (value=1, code=Avery500w) | Плёнка AVERY, серия 500, цветная (value=2, code=Avery500c) | Пленка ORACAL 352 металлик (value=3, code=Oracal352) | Плёнка транслюцентная LG, серия LT4000 (value=4, code=LGLT4000) | Плёнка светонакапливающая ФЭС-24, ГОСТ 2009, жёлто-зелёная, для сольвентной печати (value=5, code=FES24) | Плёнка световозвращающая DMP 2000, белая, 1.24 м (value=6, code=DMP2000) | Плёнка световозвращающая ТМ3100, красная, 1.24 м (value=7, code=TM3100)
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1429;dpdrollwidelaminat;select;Параметры ламинации;нет (value=0, code=No) | глянцевая (value=1, code=LaminatDLCLAM) | матовая (value=2, code=LaminatDLCLAM)
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1430;numfilm;tel;Кол-во цветов;value=1
Калькулятор табличек;https://insain.ru/catalog/tablichki-s-uf-pechatyu/;calcTablets;1468;numlencut;tel;Длинна реза, мм;value=100
